Name,Core Voltage,ALMs,Total I/Os,GPIOs,GXB Channel PMA,GXB Channel PCS,PCIe Hard IP Blocks,Memory Controllers,Memory Bits,DSP Blocks,Fractional PLLs,DLLs,Global Clocks,HPS CPU Cores
5CGXBC9E6F35C7,1.1V,113560,616,560,12,12,0,0,12492800,342,8,4,16,0
5CGXBC9E6F31C7,1.1V,113560,536,480,12,12,0,0,12492800,342,8,4,16,0
5CGXBC9D7F27C8,1.1V,113560,378,336,9,9,0,0,12492800,342,8,4,16,0
5CGXBC9D6F27C7,1.1V,113560,378,336,9,9,0,0,12492800,342,8,4,16,0
5CGXBC9C7F23C8,1.1V,113560,252,224,6,6,0,0,12492800,342,8,4,16,0
5CGXBC9C6F23C7,1.1V,113560,252,224,6,6,0,0,12492800,342,8,4,16,0
5CGXBC9A7U19C8,1.1V,113560,264,240,5,5,0,0,12492800,342,8,4,16,0
5CGXBC9A6U19C7,1.1V,113560,264,240,5,5,0,0,12492800,342,8,4,16,0
5CGXBC7D7F31C8,1.1V,56480,522,480,9,9,0,0,7024640,156,7,4,16,0
5CGXBC7D7F27C8,1.1V,56480,378,336,9,9,0,0,7024640,156,7,4,16,0
5CGXBC7D6F31C7,1.1V,56480,522,480,9,9,0,0,7024640,156,7,4,16,0
5CGXBC7D6F27C7,1.1V,56480,378,336,9,9,0,0,7024640,156,7,4,16,0
5CGXBC7C7U19C8,1.1V,56480,268,240,6,6,0,0,7024640,156,7,4,16,0
5CGXBC7C7F23C8,1.1V,56480,268,240,6,6,0,0,7024640,156,7,4,16,0
5CGXBC7C6U19C7,1.1V,56480,268,240,6,6,0,0,7024640,156,7,4,16,0
5CGXBC7C6F23C7,1.1V,56480,268,240,6,6,0,0,7024640,156,7,4,16,0
5CGXBC7B7M15C8,1.1V,56480,256,240,3,3,0,0,7024640,156,7,4,16,0
5CGXBC7B6M15C7,1.1V,56480,256,240,3,3,0,0,7024640,156,7,4,16,0
5CGXBC5C7U19C8,1.1V,29080,252,224,6,6,0,0,4567040,150,6,4,16,0
5CGXBC5C7F27C8,1.1V,29080,364,336,6,6,0,0,4567040,150,6,4,16,0
5CGXBC5C7F23C8,1.1V,29080,268,240,6,6,0,0,4567040,150,6,4,16,0
5CGXBC5C6U19C7,1.1V,29080,252,224,6,6,0,0,4567040,150,6,4,16,0
5CGXBC5C6F27C7,1.1V,29080,364,336,6,6,0,0,4567040,150,6,4,16,0
5CGXBC5C6F23C7,1.1V,29080,268,240,6,6,0,0,4567040,150,6,4,16,0
5CGXBC4C7U19C8,1.1V,18860,252,224,6,6,0,0,2560000,70,6,4,16,0
5CGXBC4C7F27C8,1.1V,18860,364,336,6,6,0,0,2560000,70,6,4,16,0
5CGXBC4C7F23C8,1.1V,18860,268,240,6,6,0,0,2560000,70,6,4,16,0
5CGXBC4C6U19C7,1.1V,18860,252,224,6,6,0,0,2560000,70,6,4,16,0
5CGXBC4C6F27C7,1.1V,18860,364,336,6,6,0,0,2560000,70,6,4,16,0
5CGXBC4C6F23C7,1.1V,18860,268,240,6,6,0,0,2560000,70,6,4,16,0
5CGXBC3B7U19C8,1.1V,13460,222,208,3,3,0,0,1382400,57,4,3,16,0
5CGXBC3B7U15C8,1.1V,13460,158,144,3,3,0,0,1382400,57,4,3,16,0
5CGXBC3B7F23C8,1.1V,13460,222,208,3,3,0,0,1382400,57,4,3,16,0
5CGXBC3B6U19C7,1.1V,13460,222,208,3,3,0,0,1382400,57,4,3,16,0
5CGXBC3B6U15C7,1.1V,13460,158,144,3,3,0,0,1382400,57,4,3,16,0
5CGXBC3B6F23C7,1.1V,13460,222,208,3,3,0,0,1382400,57,4,3,16,0
5CGTFD9E5F35I7,1.1V,113560,616,560,12,12,2,2,12492800,342,8,4,16,0
